DIB_PROD_CODE,CircularItemId,ad_id_rank,Item_Description,image_url,item_rank
0000000004046,93145708,1,10 for $10.00 With Card,https://f.wishabi.net/page_pdf_images/1839388/24272fec-6150-11e5-b8c1-22000bc1c270/x_large,1
0001111096875,93145796,2,$2.99 With Card 85% Lean,https://f.wishabi.net/page_pdf_images/1839388/e5dfc910-614f-11e5-b8c1-22000bc1c270/x_large,1
0003338321000,93144550,3,4 for $5.00 With Card 6 oz,https://f.wishabi.net/page_pdf_images/1839377/1a2aa8b2-614f-11e5-8bf3-22000bb3a4ba/x_large,1
0000000004664,93144830,4,$0.99 lb With Card,https://f.wishabi.net/page_pdf_images/1839397/388642c6-614f-11e5-a8ff-22000bb4e608/x_large,1
0000000003082,93144798,5,Broccoli Crowns,https://www.kroger.com/product/images/576128122/medium//0000000003082,1
0001111057612,93145427,6,Kroger Grape Fruit Bars,https://www.kroger.com/product/images/450719418/medium/front/0001111057612,1
0001111057041,93145427,6,Kroger Chocolate Top Fun Daze Sundaes,https://www.kroger.com/product/images/450719421/medium/front/0001111057041,2
0004126036136,93145427,6,Kroger Extra Strength Itch Relief Spray,https://www.kroger.com/product/images/031778108/medium/front/0004126036136,3
0001111057079,93145427,6,Kroger Big Wheel Vividly Vanilla Ice Cream Sandwiches,https://www.kroger.com/product/images/450719417/medium/front/0001111057079,4
0004126037298,93145427,6,Kroger Icy Hot Medicated Patch,https://www.kroger.com/product/images/031778011/medium//0004126037298,5
0003410057707,93145239,7,Miller Lite,https://www.kroger.com/product/images/112707001/medium/front/0003410057707,1
0003410057306,93145239,7,Miller Lite Beer,https://www.kroger.com/product/images/112707001/medium/front/0003410057306,2
0003410017306,93145239,7,Miller Genuine Draft Beer,https://www.kroger.com/product/images/112707001/medium/front/0003410017306,3
0003410015306,93145239,7,Miller 64,https://www.kroger.com/product/images/112707001/medium/front/0003410015306,4
0007199031600,93145239,7,Coors Light,https://www.kroger.com/product/images/112707001/medium/front/0007199031600,5
0001111078829,93145972,8,Simple Truth Organic Asian Sesame Dressing,https://www.kroger.com/product/images/176688325/medium/front/0001111078829,1
0001111078817,93145972,8,Simple Truth Organic Balsamic Vinaigrette Dressing,https://www.kroger.com/product/images/176688325/medium/front/0001111078817,2
0001111078816,93145972,8,Simple Truth Organic Goddess Dressing,https://www.kroger.com/product/images/176688325/medium/front/0001111078816,3
0001111086250,93145972,8,Simple Truth Organic Animal Crackers,https://www.kroger.com/product/images/176478313/medium/front/0001111086250,4
0001111078728,93145972,8,Simple Truth Organics Lite Raspberry Vinaigrette Dressing,https://www.kroger.com/product/images/176688325/medium/front/0001111078728,5
0021065600000,93144820,9,Heritage Farm Chicken Breast with Rib Meat,https://www.kroger.com/product/images/465303000/medium/front/0021065600000,1
0004812118419,93145475,10,Thomas Pumpkin Spice English Muffins,https://www.kroger.com/product/images/750502407/medium/front/0004812118419,1
0004812118403,93145475,10,Thomas' Double Protein Oatmeal English Muffins,https://www.kroger.com/product/images/750502407/medium/front/0004812118403,2
0004812118108,93145475,10,Thomas' High Fiber Plain English Muffins,https://www.kroger.com/product/images/750502407/medium/front/0004812118108,3
0004812113806,93145475,10,Thomas English Muffins Cinnamon Raisin,https://www.kroger.com/product/images/750502407/medium/front/0004812113806,4
0004812110208,93145475,10,Thomas English Muffins Original,https://www.kroger.com/product/images/750502407/medium/front/0004812110208,5
0002840037297,93144591,11,Lay's Kettle Cooked Sea Salt & Cracked Pepper Chips,https://www.kroger.com/product/images/600554276/medium/front/0002840037297,1
0002840016014,93144591,11,Lay's Classic Potato Chips,https://www.kroger.com/product/images/600554276/medium/front/0002840016014,2
0002840016013,93144591,11,Lay's Barbeque Potato Chips,https://www.kroger.com/product/images/600554276/medium/front/0002840016013,3
0002840026676,93144591,11,Lay's Wavy Mango Salsa Chips,https://www.kroger.com/product/images/600554276/medium//0002840026676,4
0002840042158,93144591,11,Lay's Classic Potato Chips,https://www.kroger.com/product/images/600554276/medium/front/0002840042158,5
0004000042254,93145575,12,Snickers Unwrapped Bites,https://www.kroger.com/product/images/042023227/medium/front/0004000042254,1
0003400000152,93145575,12,Reese's Sticks,https://www.kroger.com/product/images/042013228/medium/front/0003400000152,2
0004000042431,93145575,12,Snickers Bar,https://www.kroger.com/product/images/042013228/medium/front/0004000042431,3
0003400008681,93145575,12,Reese's Nutrageous Snack Size,https://www.kroger.com/product/images/042023227/medium//0003400008681,4
0003400023239,93145575,12,Reese's Snack Size Assorted Bag,https://www.kroger.com/product/images/042023242/medium/front/0003400023239,5
0001111078578,93145983,13,Simple Truth Vanilla Almond Milk,https://www.kroger.com/product/images/172878804/medium/front/0001111078578,1
0001111078577,93145983,13,Simple Truth Almond Milk,https://www.kroger.com/product/images/172878804/medium/front/0001111078577,2
0001111084593,93145983,13,Simple Truth Unsweetened Almond Milk,https://www.kroger.com/product/images/172878804/medium/front/0001111084593,3
0001111084596,93145983,13,Simple Truth Chocolate Almond Milk,https://www.kroger.com/product/images/172878804/medium/front/0001111084596,4
0001111084597,93145983,13,Simple Truth Coconut Milk,https://www.kroger.com/product/images/172878804/medium/front/0001111084597,5
0004157327337,93145598,14,Private Selection Ultimate Chocolate Chunk Cookies,https://www.kroger.com/product/images/404060620/medium/front/0004157327337,1
0004126037328,93145598,14,Kroger Mesquite Briquets,https://www.kroger.com/product/images/962069200/medium//0004126037328,2
0004126034161,93145598,14,Kroger Fluoride Rinse Eucalyptus Mint,https://www.kroger.com/product/images/031716021/medium/front/0004126034161,3
0004126036423,93145598,14,Kroger Dry Mouth Oral Rinse,https://www.kroger.com/product/images/031716021/medium/front/0004126036423,4
0004157327336,93145598,14,Private Selection Turtle Brownie Cookie,https://www.kroger.com/product/images/404060620/medium/front/0004157327336,5
0001111057660,93145200,15,Kroger Vanilla Ice Cream Sammies,https://www.kroger.com/product/images/450719417/medium/front/0001111057660,1
0001111002295,93145200,15,Kroger Mint Chocolate Chip Ice Cream Sandwich,https://www.kroger.com/product/images/450719417/medium//0001111002295,2
0001111057886,93145200,15,Kroger Vanilla Mini Ice Cream Sammies,https://www.kroger.com/product/images/450719417/medium/front/0001111057886,3
0001111057869,93145200,15,Kroger Neapolitan Ice Cream Sammies,https://www.kroger.com/product/images/450719417/medium/front/0001111057869,4
0001111057841,93145200,15,Kroger Chocolate Chip Ice Cream Sammies,https://www.kroger.com/product/images/450719417/medium/front/0001111057841,5
0022582200000,93148532,16,Private Selection Four Pepper Cajun Chicken Breast,https://www.kroger.com/product/images/154515160/medium/front/0022582200000,1
0022764600000,93148532,16,Private Selection Buffalo Chicken Breast,https://www.kroger.com/product/images/154515160/medium/front/0022764600000,2
0024581150000,93148532,16,Private Selection Lower Sodium Roast Chicken,https://www.kroger.com/product/images/154515160/medium//0024581150000,3
0025581140000,93148532,16,Private Selection Better Roast Chicken Breast,https://www.kroger.com/product/images/154515160/medium//0025581140000,4
0001111002023,93149099,17,Private Selection Bold Piccante Blend,https://www.kroger.com/product/images/494626240/medium//0001111002023,1
0004157311912,93149099,17,Private Selection Shredded 3 Cheese Blend,https://www.kroger.com/product/images/494626240/medium/front/0004157311912,2
0004157311911,93149099,17,Private Selection Shredded Hard Romano Cheese,https://www.kroger.com/product/images/494626240/medium/front/0004157311911,3
0004157311910,93149099,17,Private Selection Shredded Savory Asiago Cheese,https://www.kroger.com/product/images/494626240/medium/front/0004157311910,4
0004157311909,93149099,17,Private Selection Shaved Parmesan,https://www.kroger.com/product/images/494626240/medium/front/0004157311909,5
0001111081657,93148692,18,Kroger Tomato Sauce,https://www.kroger.com/product/images/010222090/medium/front/0001111081657,1
0001111087670,93148692,18,Kroger No Salt Added Tomato Sauce,https://www.kroger.com/product/images/010222090/medium//0001111087670,2
0001111071789,93148680,19,Kroger Great Northern Beans,https://www.kroger.com/product/images/010032050/medium/front/0001111071789,1
0001111071786,93148680,19,Kroger Light Red Kidney Beans,https://www.kroger.com/product/images/010032050/medium/front/0001111071786,2
0001111071787,93148680,19,Kroger Dark Red Kidney Beans,https://www.kroger.com/product/images/010032050/medium/front/0001111071787,3
0001111071791,93148680,19,Kroger Red Beans,https://www.kroger.com/product/images/010032050/medium/front/0001111071791,4
0001111072565,93148680,19,Kroger Pinto Beans,https://www.kroger.com/product/images/010032050/medium/front/0001111072565,5
0001111083536,93148684,20,Simple Truth Organic Fruit on the Bottom Nonfat Strawberry Greek Yogurt,https://www.kroger.com/product/images/172908808/medium/front/0001111083536,1
0001111083519,93148684,20,Simple Truth Organic Fruit on the Bottom Green Nonfat Peach Yogurt,https://www.kroger.com/product/images/172908808/medium/front/0001111083519,2
0001111083516,93148684,20,Simple Truth Organic Greek Nonfat Vanilla Bean Yogurt,https://www.kroger.com/product/images/172908808/medium/front/0001111083516,3
0001111083508,93148684,20,Simple Truth Organic Fruit on the Bottom Black Cherry Greek Yogurt,https://www.kroger.com/product/images/172908808/medium/front/0001111083508,4
0001111083531,93148684,20,Simple Truth Organic Blueberry Greek Nonfat Yogurt,https://www.kroger.com/product/images/172908808/medium/front/0001111083531,5
0007089616356,93148740,21,Wilton Bat Grippy Cutter,https://www.kroger.com/product/images/848313538/medium//0007089616356,1
0007089613011,93148740,21,Wilton Holiday Icing Color Set,https://www.kroger.com/product/images/847363538/medium//0007089613011,2
0007089616354,93148740,21,Wilton Pumpkin Grippy Cutter,https://www.kroger.com/product/images/848313538/medium//0007089616354,3
0007089614109,93148740,21,Wilton Mega Cookie Sheet,https://www.kroger.com/product/images/848313538/medium//0007089614109,4
0007089606240,93148740,21,Wilton Skeleton Cookie Cutter Set,https://www.kroger.com/product/images/848313538/medium//0007089606240,5
0001111060611,93145862,22,Bakery FreshGoodness Couble Chocolate Chip Muffins,https://www.kroger.com/product/images/404020240/medium/front/0001111060611,1
0001111026804,93145862,22,Bakery Fresh Goodness Cream Cheese Muffins,https://www.kroger.com/product/images/404020240/medium/front/0001111026804,2
0001111007296,93145862,22,Bakery Fresh Goodness Honey Raisin Bran Muffin,https://www.kroger.com/product/images/404020240/medium/front/0001111007296,3
0001111007291,93145862,22,Bakery Fresh Goodness Banana Nut Muffins,https://www.kroger.com/product/images/404020240/medium/front/0001111007291,4
0001111007294,93145862,22,Bakery Fresh Goodness Blueberry Muffin,https://www.kroger.com/product/images/404020240/medium/front/0001111007294,5
0005260305445,93148500,23,Pacific Organic Free Range Chicken Broth,https://www.kroger.com/product/images/176698441/medium/front/0005260305445,1
0005260304255,93148500,23,Pacific Cashew Carrot Ginger Soup,https://www.kroger.com/product/images/176698440/medium/front/0005260304255,2
0005260304282,93148500,23,Pacific Creamy Tomato Soup,https://www.kroger.com/product/images/176698440/medium/front/0005260304282,3
0005260305436,93148500,23,Pacific Organic Low Sodium Beef Broth,https://www.kroger.com/product/images/176698440/medium/front/0005260305436,4
0005260305450,93148500,23,Pacific Organic Vegetable Broth,https://www.kroger.com/product/images/176698441/medium/front/0005260305450,5
0000000093283,93145675,24,Organic Honeycrisp Apple,https://www.kroger.com/product/images/196320007/medium/front/0000000093283,1
0003338314621,93144571,25,Oranges - Navel,https://www.kroger.com/product/images/196028013/medium/front/0003338314621,1
0004157010938,93148496,26,Blue Diamond Almonds Artisan Chia Seeds Nut-Thins,https://www.kroger.com/product/images/176488470/medium/front/0004157010938,1
0004157010910,93148496,26,Blue Diamond Almonds Artisan Nut-Thins with Multi-Seeds,https://www.kroger.com/product/images/176488470/medium/front/0004157010910,2
0004157010909,93148496,26,Blue Diamond Almonds Artisan Nut-Thins with Sesame Seeds,https://www.kroger.com/product/images/176488470/medium/front/0004157010909,3
0004157010908,93148496,26,Blue Diamond Almonds Artisan Nut-Thins with Flax Seeds,https://www.kroger.com/product/images/176488470/medium/front/0004157010908,4
0006843791132,93145543,27,Brookside Dark Chocolate Crunchy Clusters,https://www.kroger.com/product/images/042023227/medium/front/0006843791132,1
0006843738908,93145543,27,Brookside Dark Chocolate Pomegranate,https://www.kroger.com/product/images/042023227/medium/front/0006843738908,2
0006843738350,93145543,27,Brookside Dark Chocolate Goji Raspberry,https://www.kroger.com/product/images/042023227/medium/front/0006843738350,3
0006843738971,93145543,27,Brookside Dark Chocolate Acai With Blueberry,https://www.kroger.com/product/images/042023227/medium/front/0006843738971,4
0006843791191,93145543,27,Brookside Dark Chocolate Cranberries,https://www.kroger.com/product/images/042023227/medium/front/0006843791191,5
0004369508304,93145395,28,Lean Pockets Whole Grain Chicken Broccoli & Cheese Sandwiches,https://www.kroger.com/product/images/450373703/medium/front/0004369508304,1
0004369508305,93145395,28,Lean Pockets Pepperoni Pizza With Seasoned Garlic Crust Sandwiches,https://www.kroger.com/product/images/450373703/medium/front/0004369508305,2
0004369508310,93145395,28,Lean Pockets Pizzeria Four Cheese Pizza,https://www.kroger.com/product/images/450373703/medium/front/0004369508310,3
0004369508316,93145395,28,Lean Pockets Meatballs & Mozzarella Sandwiches,https://www.kroger.com/product/images/450373703/medium/front/0004369508316,4
0004369507119,93145395,28,Hot Pockets Chicken & Cheddar With Broccoli Sandwiches,https://www.kroger.com/product/images/450373703/medium/front/0004369507119,5
0081029100106,93148492,29,Tate's Bake Shop Double Chocolate Chip Cookies,https://www.kroger.com/product/images/176478313/medium//0081029100106,1
0081029100100,93148492,29,Tate's Bake Shop Chocolate Chip Cookies,https://www.kroger.com/product/images/176478313/medium/front/0081029100100,2
0081029100104,93148492,29,Tate's Bake Shop Whole Wheat Dark Chocolate Chip Cookies,https://www.kroger.com/product/images/176478313/medium/front/0081029100104,3
